Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções,Predição
AJUDANTE LIMPEZA,EMPRESA B,B07232,18,SP,Alto,0,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
JARDINEIRO,EMPRESA B,B06933,18,TO,Alto,0,"0,17","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
APRENDIZ,EMPRESA A,A09623,18,MG,Médio,0,"0,46","0,0","0,0","0,0","0,0","1,0","0,0","1,0",Será desligado
AJUDANTE DE MECANICO,EMPRESA C,C03835,18,SP,Alto,0,"0,3","0,0","1,0","0,0","0,0","0,0","1,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B06856,19,MT,Alto,0,"0,05","0,0","0,0","0,0","0,0","0,0","1,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B06272,19,MT,Alto,0,"0,12","0,0","0,0","0,0","1,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B06899,19,SP,Alto,0,"0,12","1,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX DE MANUTENCAO JR,EMPRESA A,A07354,19,SP,Alto,0,"0,12","1,0","0,0","0,0","2,0","0,0","0,0","0,0",Será desligado
AUX DE MANUTENCAO JR,EMPRESA A,A09912,19,MG,Alto,0,"0,14","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX DE MANUTENCAO JR,EMPRESA A,A09910,19,MG,Alto,0,"0,15","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX DE MANUTENCAO JR,EMPRESA A,A08757,19,MG,Alto,0,"0,24","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA A,A08434,19,MG,Alto,0,"0,24","1,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B07088,19,RJ,Alto,0,"0,24","0,0","0,0","1,0","0,0","0,0","1,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B06936,19,MT,Alto,0,"0,31","0,0","0,0","1,0","0,0","0,0","1,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B05778,19,SP,Alto,0,"0,31","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
