Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções
MECANICO JR,EMPRESA A,A11613,18,MG,Médio,1,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07345,18,SP,Alto,1,0,"0,0","0,0","1,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11566,18,MG,Médio,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ARTIFICE CIVIL,EMPRESA B,B07321,18,GO,Médio,1,"0,03","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11322,18,MG,Alto,1,"0,11","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11255,18,MG,Alto,1,"0,14","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A10943,18,MG,Alto,1,"0,22","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A10766,18,MG,Alto,1,"0,28","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
1/2 OF DE MANUTENCAO,EMPRESA A,A10599,18,SP,Alto,1,"0,33","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
APRENDIZ,EMPRESA A,A10505,18,MT,Baixo,1,"0,35","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A10559,18,SP,Alto,1,"0,35","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX JARDINAGEM,EMPRESA B,B07035,18,ES,Médio,1,"0,36","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
TEC EM SEGURANCA PL,EMPRESA A,A10462,18,MG,Médio,1,"0,37","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B06996,18,SP,Alto,1,"0,39","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
